,2,1,0
0,1,0,0
1,0,1,1
2,1,1,0
3,0,1,0
4,1,1,1
5,0,0,0
6,1,1,1
7,1,1,0
8,1,1,0
9,0,1,1
10,0,1,1
11,0,0,1
12,0,1,1
13,0,1,1
14,1,1,1
15,1,0,0
16,0,1,1
17,1,0,0
18,1,1,0
19,1,0,1
20,1,1,0
21,1,0,0
22,1,1,1
23,1,0,1
24,1,0,0
25,1,1,1
26,1,0,0
27,1,0,1
28,1,1,0
29,1,1,0
30,1,1,1
31,1,0,0
32,0,0,1
33,1,1,1
34,1,0,0
35,1,1,0
36,1,1,1
37,1,1,0
38,1,0,1
39,1,1,1
40,1,1,1
41,0,0,0
42,0,1,1
43,0,0,0
44,1,1,1
45,1,1,0
46,1,1,1
47,0,0,0
48,1,1,0
49,1,1,0
50,0,0,0
51,1,1,1
52,0,1,1
53,1,1,1
54,1,1,0
55,0,1,1
56,1,1,1
57,0,0,0
58,1,1,1
59,0,0,0
60,1,1,0
61,0,1,1
62,0,0,0
63,0,0,0
64,1,1,0
65,1,1,1
66,1,0,1
67,1,0,0
68,1,1,1
69,1,1,0
70,1,1,1
71,0,1,1
72,1,1,0
73,1,1,0
74,1,1,1
75,0,1,1
76,0,0,0
77,0,1,1
78,0,0,0
79,0,0,0
80,1,1,1
81,0,0,0
82,0,0,0
83,0,0,1
84,0,1,0
85,1,1,1
86,1,1,1
87,0,0,1
88,1,1,1
89,0,0,0
90,1,0,1
91,1,1,1
92,1,1,1
93,1,1,0
94,0,0,0
95,0,1,1
96,1,1,1
97,1,1,1
98,1,0,1
99,1,1,1
100,0,1,1
101,0,1,1
102,0,1,0
103,0,1,1
104,1,1,1
105,1,1,0
106,1,1,1
107,1,1,0
108,0,1,1
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,1
113,0,1,1
114,1,0,0
115,1,0,0
116,0,0,1
117,1,1,1
118,1,1,1
119,1,1,1
120,0,0,0
121,1,1,1
122,0,0,0
123,1,0,0
124,0,1,0
125,1,1,0
126,0,1,1
127,1,1,1
128,0,1,1
129,0,1,1
130,0,0,0
131,0,0,0
132,1,0,1
133,1,0,0
134,1,1,1
135,0,0,1
136,0,0,0
137,1,1,1
138,0,1,1
139,1,1,0
140,1,0,1
141,0,1,1
142,1,1,1
143,1,1,1
144,1,1,1
145,0,0,1
146,1,1,1
147,1,1,1
148,1,0,1
149,0,0,0
150,1,1,1
151,1,1,0
152,1,0,1
153,1,1,1
154,0,1,1
155,1,0,1
156,1,1,0
157,0,1,0
158,1,0,0
159,1,1,1
160,1,1,1
161,1,1,0
162,1,0,0
163,1,1,0
164,1,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,1,1,0
169,1,1,0
170,0,1,0
171,1,1,1
172,1,1,1
173,1,0,1
174,0,1,1
175,1,1,1
176,1,1,0
177,1,1,1
178,0,0,0
179,0,1,0
180,0,1,1
181,0,1,1
182,0,0,0
183,1,1,1
184,0,1,1
185,0,0,0
186,1,1,1
187,1,1,1
188,1,1,1
189,1,1,0
190,0,1,1
191,1,1,0
192,1,1,0
193,0,1,1
194,1,1,1
195,1,1,1
196,1,1,0
197,0,0,0
198,1,1,1
199,1,1,1
200,0,0,0
201,0,0,0
202,1,0,1
203,0,0,0
204,1,1,0
205,0,0,0
206,1,0,0
207,0,1,1
208,1,0,0
209,0,0,0
210,1,1,1
211,1,1,1
212,0,0,1
213,1,1,1
214,1,0,0
215,0,1,1
216,1,1,0
217,1,1,0
218,0,0,0
219,0,1,1
220,0,0,0
221,0,1,1
222,1,1,0
223,1,1,1
224,1,1,1
225,0,1,1
226,0,1,1
227,1,1,1
228,1,0,0
229,1,1,0
230,1,1,1
231,1,1,0
232,0,1,1
233,1,1,1
234,1,0,1
235,0,1,1
