,0,1
0,1,0
1,0,0
2,1,0
3,0,1
4,0,0
5,1,0
6,1,0
7,1,0
8,0,1
9,1,0
10,0,0
11,1,0
12,1,0
13,0,1
14,0,1
15,1,0
16,1,0
17,0,0
18,0,0
19,0,0
20,0,1
21,0,0
22,1,0
23,1,0
24,0,0
25,0,1
26,1,0
27,0,0
28,0,0
29,1,0
30,1,0
31,1,0
32,0,0
33,1,0
34,1,0
35,1,0
36,0,0
37,0,0
38,0,1
39,1,0
40,1,0
41,1,0
42,0,1
43,1,0
44,0,1
45,0,0
46,0,1
47,0,0
48,0,1
49,1,0
50,0,0
51,0,0
52,1,0
53,0,0
54,0,0
55,0,0
56,1,0
57,1,0
58,0,1
59,0,0
60,0,1
61,0,1
62,1,0
63,0,0
64,0,0
65,1,0
66,0,0
67,1,0
68,0,1
69,0,0
70,0,1
71,0,0
72,0,1
73,1,1
74,0,0
75,1,0
76,1,0
77,1,0
78,0,0
79,1,0
80,0,1
81,0,0
82,1,0
83,1,0
84,0,0
85,1,0
86,0,0
87,1,0
88,0,1
89,0,0
90,0,1
91,0,0
92,0,0
93,0,1
94,1,0
95,0,0
96,0,1
97,0,1
98,0,1
99,1,0
100,0,0
101,1,0
102,1,0
103,0,1
104,0,0
105,0,0
106,1,0
107,1,0
108,1,0
109,1,0
110,0,1
111,0,0
112,0,0
113,1,0
114,0,0
115,1,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,1,0
122,0,1
123,1,0
124,0,1
125,1,0
126,0,0
127,1,1
128,1,0
129,0,0
130,1,0
131,0,1
132,0,1
133,0,1
134,0,0
135,0,1
136,0,1
137,0,0
138,1,0
139,0,1
140,0,0
141,0,1
142,0,1
143,0,0
144,0,1
145,1,0
146,1,0
147,1,0
148,0,1
149,0,1
150,1,0
151,0,0
152,0,0
153,0,1
154,1,0
155,1,0
156,1,0
157,0,1
158,1,0
159,1,0
160,1,0
161,0,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,0
167,0,0
168,1,0
169,0,0
170,0,0
171,0,0
172,1,0
173,0,0
174,0,0
175,0,1
176,1,0
177,0,1
178,1,0
179,0,0
180,1,0
181,1,0
182,0,1
183,0,1
184,1,0
185,1,0
186,0,0
187,1,0
188,0,0
189,1,0
190,0,1
191,1,0
192,0,0
193,0,0
194,1,0
195,0,0
196,1,0
197,1,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,1
203,0,0
204,1,0
205,1,0
206,0,0
207,1,0
208,1,0
209,1,0
210,0,0
211,1,0
212,0,0
213,1,0
214,0,0
215,0,0
216,0,0
217,0,1
218,1,0
219,1,0
220,0,0
221,0,0
222,0,1
223,1,0
224,0,0
225,0,0
226,0,0
227,0,0
228,1,0
229,0,0
230,0,1
231,0,1
232,0,0
233,0,1
234,0,0
235,0,1
236,0,1
237,0,0
238,0,0
239,0,0
240,0,0
241,1,0
242,1,0
243,1,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,1
250,0,1
251,0,0
252,1,0
253,1,0
254,1,0
255,1,0
256,1,0
257,1,0
258,0,1
259,1,0
260,1,0
261,0,1
262,1,0
263,1,0
264,1,0
265,1,0
266,0,1
267,0,0
268,0,0
269,0,1
270,0,0
271,0,0
272,1,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,1,0
279,0,1
280,0,1
281,1,0
282,0,0
283,0,0
284,1,0
285,1,0
286,1,0
287,0,1
288,1,0
289,1,0
290,0,1
291,1,0
292,0,0
293,0,0
294,0,0
295,1,0
296,0,0
297,0,1
298,1,0
299,0,1
300,1,0
301,1,0
302,0,0
303,1,0
304,1,0
305,0,1
306,1,0
307,0,0
308,0,1
309,0,0
310,0,0
311,1,0
312,0,1
313,1,0
314,1,0
315,0,0
316,0,0
317,0,1
318,1,0
319,0,1
320,0,0
321,1,0
322,1,0
323,0,0
324,0,1
325,0,0
326,1,0
327,1,0
328,1,0
329,0,1
330,0,0
331,1,0
332,1,0
333,1,0
334,0,0
335,0,1
336,1,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,1
342,1,0
343,0,0
344,0,0
345,0,0
346,1,0
347,1,0
348,0,1
349,0,0
350,0,0
351,1,0
352,0,0
353,1,0
354,1,0
355,1,0
356,0,0
357,1,0
358,0,0
359,1,0
360,1,0
361,0,0
362,0,0
363,0,0
364,1,0
365,0,0
366,0,0
367,0,0
368,0,1
369,0,1
370,0,0
371,0,0
372,0,0
373,0,1
374,1,0
375,0,1
376,1,0
377,1,0
378,0,0
379,0,0
380,0,0
381,1,0
382,1,0
383,1,0
384,1,0
385,0,1
386,0,0
387,0,0
388,0,0
389,1,0
390,1,0
391,0,0
392,1,0
393,1,0
394,1,0
395,0,1
396,1,0
397,1,0
398,1,0
399,0,0
